序号(从下到上),名称,厚度/m,弹性模量/Gpa,容重/kN*m-3,抗拉强度/MPa,Unnamed: 6
20,黄土,114.75,0.54,1800,0.0,
19,砂质泥岩,6.75,7.17,2680,1.32,95.02
18,细粒砂岩,4.15,9.54,2830,2.05,
17,高岭质泥岩,1.13,7.17,2680,1.04,
16,中粒砂岩,5.73,20.0,2570,2.72,
15,砂质泥岩,5.97,7.17,2680,1.32,
14,粉砂岩,2.01,10.2,2590,2.6,
13,砂质泥岩,12.03,7.17,2680,1.32,
12,炭质泥岩,1.53,7.17,2680,1.32,
11,粉砂岩,0.42,10.2,2590,2.6,
10,4煤,3.81,2.72,1410,0.83,
9,砂质泥岩,3.82,7.17,2680,1.32,
8,砾岩,3.73,3.04,2520,1.0,
7,砂质泥岩,9.08,7.17,2680,1.32,
6,粗粒砂岩,14.66,11.49,2780,3.075,174.90999999999997
5,风化煤,1.62,2.72,1410,0.83,26.950000000000003
4,砂质泥岩,4.35,7.17,2680,1.32,
3,粗粒砂岩,18.92,11.49,2780,3.075,
2,粉砂岩,1.46,10.2,2590,2.6,
1,炭质泥岩,0.6,7.17,2680,1.32,
0,6煤,17.59,2.72,1410,0.83,
